Issue key,Issue id,Summary,Priority,Created,Custom field (Employee Personal Email),Custom field (Employee Phone Number),Custom field (Employee Shipping Address),Custom field (Employee Work Location)
SD-75162,1280615,Delete duplicate opps (nextplumbingandair),Normal,15/Jan/26 12:58 PM,,,,
SD-75161,1280613,Reopen closed lost opportunity (tropicalcoastco_bell),Normal,15/Jan/26 12:57 PM,,,,
SD-75037,1278425,Please delete the following records as they were opened in error ,Normal,14/Jan/26 1:51 PM,,,,
SD-74999,1278027,delete duplicate opportunity,Normal,14/Jan/26 11:15 AM,,,,
SD-74935,1277520,"Need to move stage on this opportunity back to ""Pending Boarding"" as this is still an active account ",Normal,14/Jan/26 7:27 AM,,,,
SD-74900,1276988,Please delete the following records as they were opened in error ,Normal,13/Jan/26 6:15 PM,,,,
SD-74868,1276727,Please Delete Duplicate Payments Opportunity for Reactive Plumbing Services PTY LTD,Normal,13/Jan/26 1:59 PM,,,,
SD-74742,1275793,Delete duplicate opp (abcplumbingheatingcoolingandelectric),Normal,13/Jan/26 6:38 AM,,,,
SD-74741,1275777,Remove duplicate opportunity (solidrockconstructiongroupllc),Normal,13/Jan/26 6:33 AM,,,,
SD-74734,1275670,Hi <@U032NPVNMQE> and <@U07GYQL5G5V> Can't churn this <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0iPg00000003HFIAY/view?ws=%2Flightning%2Fr%2FCase%2F500Pg00000hp1nwIAA%2Fview|OB record >although all required fields are filled in…,Normal,13/Jan/26 4:12 AM,,,,
SD-74668,1272144,Delayed Salesforce access request,Normal,12/Jan/26 12:14 PM,,,,
SD-74652,1271877,"Please move opportunity to ""dicovery call"" ",Normal,12/Jan/26 10:58 AM,,,,
SD-74353,1268953,Remove Payments opportunity,Normal,08/Jan/26 1:49 PM,,,,
SD-74298,1268622,Remove Payments opportunity,Normal,08/Jan/26 11:01 AM,,,,
SD-74271,1268503,Please Delete Duplicate Payment Opp for B and B Facility Maintenance LLC - Payments - 01/03/2023,Normal,08/Jan/26 10:19 AM,,,,
SD-74189,1267863,"hey team, another <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0iPg0000006t1pIAA/view|OB record> to churn <https://www.loom.com/i/c4defabeb39547a0ad4ae49915a4e463> First Opinion HVAC, LLC-Managed Technician - PHEG Resi-11/20/2023 ",Normal,08/Jan/26 2:41 AM,,,,
SD-74135,1267489,Lost access to ST Salesforce Again,Normal,07/Jan/26 2:09 PM,,,,
SD-74009,1266583,"hey team, another <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0iPg0000005dFFIAY/view|OB record> to churn <https://www.loom.com/i/be907ecb760b4c7eba29f0ed5233460d> The Drain Smith LLC-Managed Technician - PHEG Resi-11/1/2023 Loom …",Normal,07/Jan/26 5:33 AM,,,,
SD-73998,1266464,Salesforce access,Normal,07/Jan/26 2:47 AM,,,,
SD-73956,1266092,I need access to ServiceTitan salesforce,Normal,06/Jan/26 1:49 PM,,,,
SD-73920,1265845,"Need to mark stage on this opportunity as ""Closed Lost"" but I'm unable to do so. ",Normal,06/Jan/26 11:29 AM,,,,
SD-73886,1265622,Hi can I please have this <https://servicetitan.lightning.force.com/lightning/r/Case/500Pg00001S6iIsIAJ/view|case> status updated to out for signature? 03973455 ,Normal,06/Jan/26 9:30 AM,,,,
SD-73829,1265245,"hey team, hoping to get this <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0iPg000001FjNdIAK/view|OB record> churned <https://www.loom.com/i/d3f4095fe7034ac19f9761f66ad33c6a> Lawinger Electric Contractor L-Managed Technician - PHEG…",Normal,05/Jan/26 6:00 PM,,,,
SD-73715,1264546,Please restore my exact access to Salesforce,Normal,05/Jan/26 9:42 AM,,,,
SD-73691,1264432,"Please create a Payment Opportunity for Harwich Port Heating & Cooling, LLC.",Normal,05/Jan/26 8:55 AM,,,,
SD-73600,1263343,Salesforce access,Normal,02/Jan/26 9:53 AM,,,,
SD-73549,1263055,"hey team! another <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0iPg000000N75dIAC/view|OB record> to churn please <https://www.loom.com/i/254174c1354643528591f7f58742c1fc> Davis Plumbing, LLC-Managed Technician - PHEG Resi-5/7/2024 ",Normal,31/Dec/25 3:53 AM,,,,
SD-73548,1263045,hi team can you please help me churn this <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0iPg0000008BZNIA2/view|OB record> <https://www.loom.com/i/d520551d59df42948bece84fcfc37511> My Home Heat and Air LLC-Managed Technician - PHEG …,Normal,31/Dec/25 3:17 AM,,,,
SD-73509,1262715,Need Permissions Changed in SFDC,Normal,30/Dec/25 11:41 AM,,,,
SD-73468,1262377,hi team can you please help me churn this <http://peakflowplumbinginc|OB record>  <https://www.loom.com/i/9b11a5c436ca47d8baed9542478b1dae> [no preview available] ,Normal,30/Dec/25 3:37 AM,,,,
SD-73167,1259299,I don't see salesforce (ServiceTitan) tile on Okta and I need access,Normal,22/Dec/25 1:40 PM,,,,
SD-72895,1256624,Please Delete Duplicate Payment Opp for Anderson Chimney Sweeps Inc - Payments - 04/02/2024,Normal,18/Dec/25 4:49 PM,,,,
SD-72894,1256620,Please Delete Duplicate Payment Opp for Temco Air Environmental - TTP - 10/23/2025,Normal,18/Dec/25 4:33 PM,,,,
SD-72887,1256532,Need access to Salesforce,Normal,18/Dec/25 3:06 PM,,,,
SD-72861,1256156,"hey team, can I please get help churning this <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0i1P000004ZsVvQAK/view|OB rec>? cc:<@U032NPVNMQE> Davis Mechanical Systems, Inc.-Managed Technician - PHEG Comm-11/29/2022 ",Normal,18/Dec/25 12:08 PM,,,,
SD-72836,1256007,Please remove opportunity created in error,Normal,18/Dec/25 10:47 AM,,,,
SD-72810,1255743,Can you please help me get access to Salesforce,Normal,18/Dec/25 8:32 AM,,,,
SD-72663,1254281,Delete duplicate opp (Thermotechinc1),Normal,17/Dec/25 9:40 AM,,,,
SD-72662,1254275,Delete duplicate opp (associatedheatingandairconditioning),Normal,17/Dec/25 9:38 AM,,,,
SD-72646,1254152,Salesforce Access Needed,Normal,17/Dec/25 8:21 AM,,,,
SD-72514,1252704,Need Onboarding Record rolled back to Pending Underwriting,Normal,16/Dec/25 9:25 AM,,,,
SD-72507,1252676,Request to delete an opp,Normal,16/Dec/25 9:04 AM,,,,
SD-72490,1252593,Salesforce: Missing Access,Normal,16/Dec/25 8:26 AM,,,,
