Issue key,Issue id,Summary,Priority,Created
SD-73886,1265622,Hi can I please have this case status updated to out for signature 03973455,Normal,06/Jan/26 9:30 AM
SD-73829,1265245,hey team hoping to get this OB record churned Lawinger Electric Contractor,Normal,05/Jan/26 6:00 PM
SD-72514,1252704,Need Onboarding Record rolled back to Pending Underwriting,Normal,16/Dec/25 9:25 AM
SD-72455,1252167,OB records were churned but the case status and account status remained the same,Normal,16/Dec/25 12:41 AM
SD-71772,1244003,Update account status to success,Normal,08/Dec/25 11:45 PM
SD-71648,1242653,Change Onboarding Record back to Pending Underwriting,Normal,08/Dec/25 7:50 AM
SD-71600,1241189,Hey team I need help churning this OB record,Normal,05/Dec/25 4:55 PM
SD-71406,1238675,Please delete OB record - created in Error,Normal,04/Dec/25 11:51 AM
SD-70124,1222102,I am trying to put this case in my name but it says record is locked,Normal,20/Nov/25 1:22 PM
SD-65577,1164495,Flip Case Status to Contract Updated,Normal,13/Oct/25 12:59 PM
SD-64299,1144664,Hi please terminate OB record,Normal,30/Sep/25 8:46 AM
SD-63599,1139332,Request to have onboarding record deleted for CustomerFocused LLC DBA Aire S,Normal,26/Sep/25 8:02 AM
SD-62706,1126664,Update dates on OB record,Normal,16/Sep/25 5:35 PM
SD-60547,1090873,Delete duplicate OB record,Normal,22/Aug/25 3:22 PM
SD-60020,1085459,Subscription lines are incorrect for customer,Normal,18/Aug/25 3:08 PM
SD-57170,1049779,Please delete the following OB record as was opened in error,Normal,17/Jul/25 1:20 PM
SD-75162,1280615,Delete duplicate opps nextplumbingandair,Normal,15/Jan/26 12:58 PM
SD-75161,1280613,Reopen closed lost opportunity tropicalcoastco_bell,Normal,15/Jan/26 12:57 PM
SD-75037,1278425,Please delete the following records as they were opened in error,Normal,14/Jan/26 1:51 PM
SD-74999,1278027,delete duplicate opportunity,Normal,14/Jan/26 11:15 AM
SD-74935,1277520,Need to move stage on this opportunity back to Pending Boarding as this is still an active account,Normal,14/Jan/26 7:27 AM
SD-74900,1276988,Please delete the following records as they were opened in error,Normal,13/Jan/26 6:15 PM
SD-74868,1276727,Please Delete Duplicate Payments Opportunity for Reactive Plumbing Services PTY LTD,Normal,13/Jan/26 1:59 PM
SD-74742,1275793,Delete duplicate opp abcplumbingheatingcoolingandelectric,Normal,13/Jan/26 6:38 AM
SD-74741,1275777,Remove duplicate opportunity solidrockconstructiongroupllc,Normal,13/Jan/26 6:33 AM
SD-74734,1275670,Cant churn this OB record although all required fields are filled in,Normal,13/Jan/26 4:12 AM
SD-74668,1272144,Delayed Salesforce access request,Normal,12/Jan/26 12:14 PM
SD-74652,1271877,Please move opportunity to discovery call,Normal,12/Jan/26 10:58 AM
SD-74353,1268953,Remove Payments opportunity,Normal,08/Jan/26 1:49 PM
SD-74298,1268622,Remove Payments opportunity,Normal,08/Jan/26 11:01 AM
SD-74271,1268503,Please Delete Duplicate Payment Opp for B and B Facility Maintenance LLC,Normal,08/Jan/26 10:19 AM
SD-74189,1267863,hey team another OB record to churn First Opinion HVAC LLC,Normal,08/Jan/26 2:41 AM
SD-74135,1267489,Lost access to ST Salesforce Again,Normal,07/Jan/26 2:09 PM
SD-74009,1266583,hey team another OB record to churn The Drain Smith LLC,Normal,07/Jan/26 5:33 AM
SD-73998,1266464,Salesforce access,Normal,07/Jan/26 2:47 AM
SD-73956,1266092,I need access to ServiceTitan salesforce,Normal,06/Jan/26 1:49 PM
SD-73920,1265845,Need to mark stage on this opportunity as Closed Lost but unable to do so,Normal,06/Jan/26 11:29 AM
SD-73715,1264546,Please restore my exact access to Salesforce,Normal,05/Jan/26 9:42 AM
SD-73691,1264432,Please create a Payment Opportunity for Harwich Port Heating and Cooling LLC,Normal,05/Jan/26 8:55 AM
SD-73600,1263343,Salesforce access,Normal,02/Jan/26 9:53 AM
SD-73549,1263055,hey team another OB record to churn please Davis Plumbing LLC,Normal,31/Dec/25 3:53 AM
SD-73548,1263045,hi team can you please help me churn this OB record My Home Heat and Air LLC,Normal,31/Dec/25 3:17 AM
SD-73509,1262715,Need Permissions Changed in SFDC,Normal,30/Dec/25 11:41 AM
SD-73468,1262377,hi team can you please help me churn this OB record,Normal,30/Dec/25 3:37 AM
SD-73167,1259299,I dont see salesforce ServiceTitan tile on Okta and I need access,Normal,22/Dec/25 1:40 PM
SD-72895,1256624,Please Delete Duplicate Payment Opp for Anderson Chimney Sweeps Inc,Normal,18/Dec/25 4:49 PM
SD-72894,1256620,Please Delete Duplicate Payment Opp for Temco Air Environmental,Normal,18/Dec/25 4:33 PM
SD-72887,1256532,Need access to Salesforce,Normal,18/Dec/25 3:06 PM
SD-72861,1256156,hey team can I please get help churning this OB rec Davis Mechanical Systems Inc,Normal,18/Dec/25 12:08 PM
SD-72836,1256007,Please remove opportunity created in error,Normal,18/Dec/25 10:47 AM
SD-72810,1255743,Can you please help me get access to Salesforce,Normal,18/Dec/25 8:32 AM
SD-72663,1254281,Delete duplicate opp Thermotechinc1,Normal,17/Dec/25 9:40 AM
SD-72662,1254275,Delete duplicate opp associatedheatingandairconditioning,Normal,17/Dec/25 9:38 AM
SD-72646,1254152,Salesforce Access Needed,Normal,17/Dec/25 8:21 AM
SD-72507,1252676,Request to delete an opp,Normal,16/Dec/25 9:04 AM
SD-72490,1252593,Salesforce Missing Access,Normal,16/Dec/25 8:26 AM
SD-72397,1251369,Request access to SFDC both ST and Aspire,Normal,15/Dec/25 11:53 AM
SD-72386,1251319,Request to move this stage back to Pending Boarding,Normal,15/Dec/25 11:24 AM
SD-72380,1251263,Cleanup Onboarding Record,Normal,15/Dec/25 10:54 AM
SD-72263,1250047,Unable to Closed Lost The Payments Opp Able Roofing LLC DBA Crane Renovation Group,Normal,12/Dec/25 1:39 PM
